pc,count
176,2
180,2
200,2
36,2
184,2
252,2
19,2
58,2
198,2
247,2
231,2
30,2
158,2
41,2
43,2
13,2
230,2
197,2
16,2
10,2
152,2
102,2
270,2
38,2
185,2
192,2
47,2
266,2
174,2
241,2
71,2
106,2
122,2
101,2
91,2
54,2
137,2
175,2
139,2
126,2
68,2
182,2
81,2
84,2
96,2
177,2
234,2
70,2
248,2
32,2
157,2
64,2
75,2
236,2
65,2
205,2
208,2
110,2
63,2
35,2
169,2
42,2
103,2
237,2
255,2
258,2
271,2
92,2
14,2
171,2
20,2
160,2
166,2
105,2
131,2
39,2
162,2
89,2
153,2
218,2
24,2
223,2
240,2
95,2
112,2
26,2
225,2
123,2
262,2
127,2
88,2
188,2
108,2
196,2
144,2
167,2
191,2
94,2
8,2
207,2
115,2
18,2
217,2
83,2
60,2
259,2
254,2
55,2
245,2
46,2
235,2
155,2
113,2
72,2
25,2
224,2
203,2
4,2
98,2
1,2
6,2
172,2
253,2
183,2
69,2
268,2
118,2
130,2
204,2
5,2
107,2
251,2
52,2
57,2
256,2
154,2
93,2
190,2
243,2
44,2
49,2
85,2
29,2
228,2
226,2
27,2
129,2
170,2
73,2
272,2
120,2
45,2
244,2
239,2
40,2
142,2
48,2
232,2
33,2
211,2
12,2
17,2
216,2
109,2
178,2
128,2
222,2
23,2
159,2
214,2
15,2
117,2
173,2
79,2
249,2
50,2
229,2
168,2
265,2
66,2
124,2
221,2
22,2
274,2
80,2
61,2
260,2
141,2
116,2
213,2
119,2
77,2
97,2
202,2
3,2
187,2
56,2
261,2
62,2
121,2
201,2
2,2
132,2
86,2
34,2
233,2
273,2
74,2
140,2
76,2
28,2
227,2
194,2
21,2
220,2
263,2
100,2
150,2
164,2
195,2
151,2
78,2
149,2
111,2
163,2
181,2
209,2
199,2
0,2
37,2
90,2
147,2
257,2
114,2
51,2
250,2
67,2
179,2
193,2
210,2
11,2
31,2
9,2
186,2
269,2
125,2
135,2
246,2
161,2
264,2
212,2
99,2
82,2
59,2
7,2
206,2
136,2
238,2
219,2
267,2
165,2
146,2
53,2
138,2
133,2
145,2
242,2
215,2
156,2
134,2
104,2
143,2
148,2
189,2
87,2
