pc,count
563,4
559,4
550,4
596,4
711,4
802,4
714,4
762,4
761,4
574,4
569,4
620,4
657,4
778,4
667,4
665,4
632,4
775,4
734,4
552,4
781,4
644,4
705,4
796,4
800,4
718,4
671,4
693,4
823,4
692,4
562,4
772,4
721,4
708,4
580,4
556,4
590,4
640,4
616,4
821,4
649,4
751,4
597,4
675,4
731,4
795,4
680,4
634,4
729,4
703,4
681,4
651,4
614,4
787,4
686,4
741,4
662,4
790,4
621,4
746,4
676,4
594,4
672,4
670,4
592,4
767,4
771,4
630,4
694,4
570,4
625,4
753,4
773,4
638,4
704,4
553,4
808,4
609,4
584,4
783,4
716,4
813,4
805,4
606,4
642,4
819,4
710,4
589,4
788,4
690,4
798,4
599,4
677,4
573,4
780,4
581,4
732,4
749,4
748,4
791,4
679,4
776,4
577,4
582,4
779,4
585,4
784,4
678,4
812,4
613,4
618,4
817,4
766,4
567,4
669,4
785,4
586,4
627,4
654,4
557,4
756,4
803,4
604,4
602,4
801,4
699,4
674,4
700,4
745,4
579,4
660,4
744,4
600,4
799,4
697,4
617,4
816,4
758,4
588,4
782,4
583,4
641,4
735,4
595,4
794,4
695,4
598,4
797,4
645,4
822,4
623,4
684,4
587,4
786,4
728,4
633,4
629,4
726,4
624,4
818,4
619,4
737,4
566,4
765,4
760,4
561,4
673,4
770,4
571,4
576,4
814,4
615,4
717,4
607,4
806,4
712,4
743,4
702,4
668,4
659,4
759,4
560,4
565,4
764,4
810,4
611,4
763,4
564,4
650,4
747,4
736,4
639,4
750,4
551,4
610,4
809,4
804,4
605,4
793,4
643,4
740,4
698,4
824,4
719,4
713,4
720,4
730,4
664,4
715,4
631,4
558,4
757,4
811,4
612,4
774,4
575,4
807,4
608,4
628,4
769,4
687,4
591,4
658,4
688,4
622,4
689,4
554,4
706,4
722,4
626,4
755,4
578,4
777,4
666,4
572,4
727,4
652,4
709,4
636,4
655,4
820,4
768,4
568,4
682,4
683,4
603,4
646,4
733,4
724,4
701,4
815,4
739,4
792,4
593,4
723,4
742,4
635,4
661,4
601,4
647,4
555,4
754,4
637,4
789,4
648,4
707,4
691,4
738,4
696,4
663,4
653,4
752,4
725,4
685,4
656,4
